Stop Code,Stop Name_x,Latitude,Longitude,Status,FID,ASSETID,stop_lat,stop_lon,stop_name,Stop_Site,Street_Nam,AADT,AvgWeekday,AvgWeekd_1,Bus_Loadin,Concrete_R,County,Edge_of_Pa,Is_Active_,Is_Active1,Is_Activ_1,Is_Activ_2,Is_Activ_3,Agency,MicroTrans,Shared_Rou,Shelter_QT,Shelter_Ty,ShelterCol,Signal_Typ,Timepoint,ADA,Area_Light,BenchColor,Bike_Lane_,Bike_Parki,Bike_Par_1,Bus_Stop_L,Real_Time_,Seating_QT,Seating_Ty,Site_Shade,Trash_Can_,Waiting_Ar,Crosswalk_,Crosswalk1,Crosswal_1,Landing_Lo,Landing_Ma,Landing_Pa,Landing_Ty,Sidewalk_C,Sidewalk_1,Sidewalk_2,Sidewalk_O,Sidewalk_T,STATUS,LIFECYCLES,ENCROACHME,IMPROVEMEN,DOCUMENTFO,bus_stop_visible_2026,visibility_confidence_2026,stop_surface_2026,landing_type_2026,sidewalk_connection_2026,landing_pad,shelter_n_2026,bench_n_2026,trash_can_n_2026,street_lighting_2026,notes_2026,Stop Name_y,Avg Daily Total On,Avg Daily Total Off,Avg Daily Total Activity,Complaints_n_2026,ridership_score,complaint_score,amenity_score,condition_score,roadway_score,context_score,cleaning_priority_score,recommended_tier,recommended_frequency,recommended_cleaning_level,review_flag,abc_comparison
1914,University Dr at University Pl (EB),35.95649,-78.965978,Active,1665.0,STOP10078,35.95648969,-78.96597774,   University Dr at University Pl (EB),Near_Side,University Dr,15000.0,3.0,4.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,Yes, , , , ,"10, 400",0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Fair, , ,0.0,,Pole,No,0.0,,Trees_Good,,Fair,Fair,Within_Sight,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Good,Both,Both,,Concrete, ,, , , ,,,,,,,,,,,,University Dr at University Pl (EB),4.2,2.5,6.8,,1,0,0,1,0,2,4,Low,Monthly,Basic,,Needs current A/B/C category
1927,Erwin Rd at Emergency Dr (EB),36.007959,-78.935469,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Erwin Rd at Emergency Dr (EB),7.0,6.3,13.3,,1,0,0,0,0,0,1,Low,Monthly,Basic,,Needs current A/B/C category
5002,Riddle Rd at Ancroft Ave (NB),35.95263,-78.89703,Active,1387.0,STOP10079,35.95263,-78.89703,   Riddle Rd at Ancroft Ave (NB),Far_Side,Riddle,11000.0,0.0,0.0,Traffic_Lane,No,Durham,Open_Section,Yes, ,No, , ,GoDurham, ,"12, 12B",0.0,, ,, ,,Fair, , ,0.0,,,No,0.0,,Trees_Good,Concrete,,,,,Level_with_Roadway,Grass,,Unpaved,,,,,, ,, , , ,Yes,0.9,Grass,Unpaved,No,,0.0,0.0,1.0,Yes,The bus stop sign is visible leaning on a metal post in the grass. A concrete trash can with a brown lid is located at the stop. There is no sidewalk or paved landing pad.,Riddle Rd at Ancroft Ave (NB),2.3,0.7,3.0,,1,0,3,4,0,0,8,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5003,Alston Ave at Main St (NB),35.98763,-78.88766,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alston Ave at Main St (NB),6.8,8.3,15.1,,2,0,0,0,0,0,2,Low,Monthly,Basic,,Needs current A/B/C category
5004,Alston Ave at Main St (SB),35.9871939,-78.8883015,Active,10.0,STOP10019,35.987108,-78.888125,   Alston Ave at Main St,Far_Side,Alston Ave,17000.0,9.0,9.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,3C,0.0,, ,Traffic_Ped_Crossing,GoDurham Timepoint,No_SidewalkWithStrip,Fair, , ,0.0,,,No,0.0,,,,Poor,Poor,Within_100_FT,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Good,Both,Both,Other,Concrete, ,, , , ,Yes,1.0,Concrete,Unpaved_Grass_Strip_And_Sidewalk,Yes,,0.0,0.0,0.0,No,The bus stop sign is clearly visible on the left side of the left view image. The stop is located on a concrete sidewalk separated from the curb by a grass strip.,Alston Ave at Main St (SB),29.0,20.7,49.7,,3,0,0,1,1,0,5,Low,Monthly,Basic,,Needs current A/B/C category
5005,Cornwallis Rd at Industry Ln,35.94235,-78.8996,Active,275.0,STOP10324,35.94278,-78.89973,   Cornwallis Rd at Industry Ln,Midblock,Cornwallis,6200.0,1.0,0.0,Other,No,Durham,Open_Section,Yes, ,No, , ,GoDurham, ,"12, 12B",0.0,, ,, ,,Poor, , ,0.0,,,No,0.0,,Trees_Fair,,,,,,Level_with_Roadway,Grass,,Unpaved,,,,,, ,, , , ,,,,,,,,,,,,Cornwallis Rd at Industry Ln,0.6,1.2,1.8,,1,0,0,2,0,0,3,Low,Monthly,Basic,,Needs current A/B/C category
5006,Alston Ave at Linwood Ave (NB),35.9799408,-78.8914218,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,1.0,Concrete,Paved,Yes,Two_doors,0.0,0.0,1.0,Yes,"The bus stop is clearly visible in the left view. It features a GoDurham bus stop sign on the utility pole, a solar-powered pole light, a trash can, a bike rack, and a continuous concrete sidewalk providing a paved landing area.",Alston Ave at Linwood Ave (NB),41.1,19.9,61.0,1.0,3,2,3,0,0,0,8,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5008,S Alston Ave at Massey Ave (NB),35.978154,-78.892187,Active,1491.0,STOP10082,35.978154,-78.892187,   S Alston Ave at Massey Ave (NB),Midblock,S Alston Ave,24000.0,4.0,10.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"12, 12B",0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Fair, , ,0.0,,Pole,No,0.0,,Trees_Good,,Poor,Poor,Within_Sight,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Poor,Both,Both,Mud,Concrete, ,, , , ,Yes,1.0,Grass,Unpaved,No,,0.0,0.0,0.0,No,"The bus stop sign is clearly visible on a metal post in the grass/dirt area in front of a residential house. There is no paved landing pad, shelter, bench, or public trash can at this stop.",S Alston Ave at Massey Ave (NB),11.9,5.3,17.3,,2,0,0,4,2,0,8,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5010,Durham Station Pettigrew North Platform,35.99624902,-78.90557568,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear,0.5,Concrete,Paved,No,,1.0,0.0,0.0,Yes,MANUAL REVIEW REQUIRED: View of the curb is blocked by active construction. A new concrete platform is being built behind temporary fencing.,,,,,,0,0,3,1,0,3,7,Manual Review,Verify first,Manual review before assignment,Manual review before tier assignment,Needs current A/B/C category
5011,Durham Station Pettigrew South Platform,35.99650291,-78.90615772,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unclear,0.9,Concrete,Paved,,,0.0,0.0,0.0,Yes,MANUAL REVIEW REQUIRED: View of the curb is blocked by a vehicle/object. The bus stop/platform area is completely fenced off due to active construction.,,,,,,0,0,0,0,0,3,3,Manual Review,Verify first,Manual review before assignment,Manual review before tier assignment,Needs current A/B/C category
5012,Durham Station Parking Deck Platform,35.99584322,-78.90520554,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,Low,Monthly,Basic,,Needs current A/B/C category
5017,Chapel Hill Rd at McGehee St (NB),35.981294,-78.934076,Active,202.0,STOP10083,35.981294,-78.934076,   Chapel Hill Rd at McGehee St (NB),Midblock,Chapel Hill,9900.0,1.0,2.0,Other,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"10, 10B",0.0,, ,, ,,Poor, , ,0.0,,,No,0.0,,Trees_Fair,,,,,,Other,Gravel,,Unpaved,,,,,, ,, , , ,Yes,1.0,Grass,Unpaved,No,,0.0,0.0,0.0,Yes,The bus stop sign is visible next to the utility pole on the grass shoulder. There is no sidewalk or landing pad at this location.,Chapel Hill Rd at McGehee St (NB),1.6,0.9,2.5,,1,0,0,4,0,0,5,Low,Monthly,Basic,,Needs current A/B/C category
5018,Morehead Ave at Vickers Ave (WB),35.991663,-78.911791,Active,1096.0,STOP10084,35.991663,-78.911791,   Morehead Ave at Vickers Ave (WB),Near_Side,Morehead Ave,2700.0,1.0,0.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"10, 10B",0.0,, ,Traffic_Only, ,No_SidewalkWithStrip,Fair, , ,0.0,,,No,0.0,,Trees_Good,,,,Within_100_FT,Unmarked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Fair,Both,Both,Tree,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,0.0,0.0,0.0,No,The bus stop sign is mounted on a wooden utility pole at the corner of the intersection. The boarding area is a concrete sidewalk connected to a pedestrian curb ramp with tactile warning tiles.,Morehead Ave at Vickers Ave (WB),0.5,1.1,1.6,,1,0,0,0,0,0,1,Low,Monthly,Basic,,Needs current A/B/C category
5021,Chapel Hill Rd at W Cornwallis Rd (SB1),35.975344,-78.936845,Active,224.0,STOP10086,35.97534426,-78.93684516,Chapel Hill Rd at W Cornwallis Rd (SB1),Near_Side,Chapel Hill Rd,8900.0,14.0,3.0,Other,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"10, 10B",0.0,, ,, ,No_SidewalkWithStrip,Poor, , ,0.0,,Pole,No,0.0,,,,Good,Good,Within_100_FT,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Poor,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,1.0,1.0,0.0,Yes,"The bus stop is clearly visible on the right side of the road, featuring a shelter with an integrated bench, a bus stop sign, and a concrete boarding area connected directly to the sidewalk.",Chapel Hill Rd at W Cornwallis Rd (SB1),4.7,18.6,23.3,,2,0,4,0,0,0,6,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N Alston Ave at Drew St (SB),4.5,5.7,10.2,,1,0,0,0,0,0,1,Low,Monthly,Basic,,Needs current A/B/C category
5023,Avondale Dr at E Markham Ave (SB),36.008351,-78.885933,Active,66.0,STOP10088,36.008351,-78.885933,   Avondale Dr at E Markham Ave (SB),Far_Side,Avondale,17000.0,0.0,0.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,9 9A 9B,0.0,, ,Traffic_Ped_Crossing, ,Yes_Sidewalk,Poor, , ,0.0,,,No,0.0,,,Concrete,Poor,Poor,Within_100_FT,Marked,Curb_Height,Concrete,,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,0.9,Concrete,Paved,Yes,Two_doors,0.0,0.0,0.0,Yes,"The bus stop sign is visible on the concrete sidewalk next to the guardrail in the left view. The stop is connected to a continuous sidewalk with no shelter, bench, or trash can present.",Avondale Dr at E Markham Ave (SB),2.4,0.9,3.3,,1,0,0,0,1,0,2,Low,Monthly,Basic,,Needs current A/B/C category
5027,Club Blvd at Gregson St,36.016838,-78.908686,Active,254.0,STOP10089,36.016838,-78.908686,   Club Blvd at Gregson St,Near_Side,W Club,7100.0,1.0,3.0,Traffic_Lane,No,Durham,Granite_Curb,Yes, ,No, , ,GoDurham, ,1,0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,, , ,0.0,,Pole,No,0.0,,,Concrete,Fair,Fair,Within_100_FT,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Poor,Both,Both,,Concrete, ,, , , ,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,No,,0.0,0.0,0.0,No,The bus stop sign is mounted on a metal post in the grass strip between the curb and the sidewalk.,Club Blvd at Gregson St,3.4,1.1,4.6,,1,0,0,3,0,0,4,Low,Monthly,Basic,,Needs current A/B/C category
5030,Duke St at Main St,35.999745,-78.90788,Active,366.0,STOP10090,35.999745,-78.90788,   Duke St at Main St,Midblock,Duke,9200.0,2.0,8.0,Traffic_Lane,No,Durham,Rolled_Curb,Yes, ,No, , ,GoDurham, ,1,0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkAbuts,Poor,Blue, ,0.0,,,No,2.0,Simme_Seat,,,Fair,Fair,Within_100_FT,Marked,Curb_Height,Concrete,Other,Paved,Good,Both,Both,,Concrete, ,, , , ,,,,,,,,,,,,Duke St at Main St,12.4,1.9,14.3,,1,0,1,0,0,0,2,Low,Monthly,Basic,,Needs current A/B/C category
5031,Carver St at Guess Rd,36.03778,-78.93043,Active,171.0,STOP10091,36.03778,-78.93043,   Carver St at Guess Rd,Far_Side,Carver,12500.0,6.0,3.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,1,0.0,, ,Traffic_Ped_Crossing, ,,Poor, , ,0.0,,Pole,No,0.0,,,,Poor,Poor,Within_Sight,Marked,Curb_Height,Grass,,Unpaved,,,,,, ,, , , ,Yes,1.0,Grass,Unpaved,No,,0.0,0.0,0.0,No,The bus stop sign is mounted on the wooden utility pole below the speed limit 35 sign. The boarding area is grass with no sidewalk connection.,Carver St at Guess Rd,2.9,13.2,16.1,,2,0,0,4,0,0,6,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5032,Roxboro Rd at Lavender Rd,36.02323,-78.889966,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0.9,Grass,Unpaved_Grass_Strip_And_Sidewalk,Yes,,0.0,0.0,0.0,Yes,The bus stop sign is mounted on a metal post in the grass strip between the sidewalk and the curb. No other amenities are present.,Roxboro Rd at Lavender Rd,0.0,0.0,0.0,,0,0,0,2,0,0,2,Low,Monthly,Basic,,Needs current A/B/C category
5033,Roxboro Rd at Bush Dr,36.07577,-78.90968,Active,1415.0,STOP10093,36.07577,-78.90968,   Roxboro Rd at Bush Dr,Midblock,Roxboro,30000.0,2.0,7.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,9B,0.0,, ,Traffic_Only, ,No_SingleDoor,Good,Blue, ,0.0,,,No,2.0,Simme_Seat,,,,,,,Curb_Height,Concrete,Yes_Single_Door,Paved,Good,Both,Both,,Concrete, ,, , , ,,,,,,,,,,,,Roxboro Rd at Bush Dr,42.2,9.9,52.1,,3,0,1,0,2,0,6,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5035,Angier Ave at Pleasant Dr,35.96362,-78.85662,Active,42.0,STOP10094,35.96362,-78.85662,   Angier Ave at Pleasant Dr,Near_Side,Angier Ave,8100.0,1.0,2.0,Traffic_Lane,No,Durham,Open_Section,Yes, ,No, , ,GoDurham, ,2,0.0,, ,, ,,Poor, , ,0.0,,,No,0.0,,,,,,,,Level_with_Roadway,Grass,,Unpaved,,,,,, ,, , , ,,,,,,,,,,,,Angier Ave at Pleasant Dr,3.8,2.2,6.0,,1,0,0,2,0,0,3,Low,Monthly,Basic,,Needs current A/B/C category
5039,Fayetteville St at Piedmont Ave (SB),35.984326,-78.899178,Active,608.0,STOP10098,35.984326,-78.899178,   Fayetteville St at Piedmont Ave (SB),Near_Side,Fayetteville,17000.0,37.0,26.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,5,0.0,, ,Traffic_Ped_Crossing, ,No_SidewalkWithStrip,Fair, , ,0.0,,,No,0.0,,,Concrete,Fair,Fair,Within_Sight,Marked,Curb_Height,Grass_and_Sidewalk,,Unpaved_Grass_Strip_And_Sidewalk,Fair,Both,Both,,Concrete, ,, , , ,Yes,1.0,Grass,Unpaved_Grass_Strip_And_Sidewalk,Yes,,0.0,0.0,1.0,Yes,The bus stop is marked by a sign on a metal post located in the grass strip between the sidewalk and the curb. A trash can is present next to the sidewalk. A street light is located nearby.,Fayetteville St at Piedmont Ave (SB),31.7,38.5,70.3,,4,0,3,2,1,0,10,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
5042,University Dr at Weymouth St (WB),35.96702,-78.94998,Active,1671.0,STOP10099,35.96702,-78.94998,   University Dr at Weymouth St (WB),Far_Side,University Dr,11000.0,20.0,12.0,Traffic_Lane,No,Durham,Curb_and_Gutter,Yes, ,No, , ,GoDurham, ,"10, 10B, 20",0.0,, ,, ,Yes_Two_Doors,Good,Blue, ,0.0,,Pole,No,2.0,Simme_Seat,Trees_Good,,,,,,Curb_Height,Concrete,Yes_Two_Doors,Paved,Good,Both,Both,,Concrete, ,, , , ,Yes,1.0,Concrete,Paved,Yes,Two_doors,0.0,1.0,0.0,Yes,The bus stop is clearly visible with a blue bench on a concrete pad connected to the sidewalk. A street light pole is located directly adjacent to the stop.,University Dr at Weymouth St (WB),14.2,39.6,53.8,,3,0,1,0,0,2,6,Medium,Every 2 weeks,"Basic, enhanced as needed",,Needs current A/B/C category
