Stop Code,Stop Name,Latitude,Longitude,Current Cleaning Category,abc_stop_name,cleaning_priority_score,cleaning_priority_level,stop_id,stop_name,selected_image_filename,lattitude,longitude,best_view,bus_stop_visible,bus_stop_visibility_confidence,shelter_present,shelter_number,bench_present,bench_number,trash_can_present,trash_can_number,stop_surface,landing_type,sidewalk_connection,landing_pad,cross_walk,street_lighting,date,notes,final_image_path,inspection_priority_score,inspection_priority_level
6270,TW Alexander Dr at Creekside Townhomes,35.922404,-78.837375,B,TW Alexander Dr at Creekside Townhomes,70,High,6270,TW Alexander Dr at Creekside Townhomes,6270_TW_Alexander_Dr_at_Creekside_Townhomes_2026-03_n_heading-10.jpg,35.922404,-78.837375,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2026-03,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. A bare metal post is visible in the north and northeast views, but it does not have a bus stop sign. The shoulder is unpaved gravel/dirt/grass with no sidewalk connection.",final_images/6270_TW_Alexander_Dr_at_Creekside_Townhomes_2026-03_n_heading-10.jpg,92.5,Very High
5209,Foushee St at Avondale Dr (WB),36.016485,-78.887403,B,Foushee St at Avondale Dr (WB),70,High,5209,Foushee St at Avondale Dr (WB),5209_Foushee_St_at_Avondale_Dr_WB_2025-04_n_heading-27.jpg,36.016485,-78.887403,n,No,0.25,0.25,0.0,0.25,0.0,0.25,0.0,Grass,Unpaved,No,,No,Yes,2025-04,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. No signs, shelters, benches, or trash cans identified in the 360-degree view.",final_images/5209_Foushee_St_at_Avondale_Dr_WB_2025-04_n_heading-27.jpg,84.5,Very High
5313,Alston Ave at Lawson St (SB),35.974877,-78.893695,B,Alston Ave at Lawson St (SB),70,High,5313,Alston Ave at Lawson St (SB),5313_Alston_Ave_at_Lawson_St_SB_2025-01_n_heading-276.jpg,35.974877,-78.893695,front,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked the West side of Alston Ave (Southbound) near Lawson St, but no GoDurham sign, shelter, bench, or trash can is present.",final_images/5313_Alston_Ave_at_Lawson_St_SB_2025-01_n_heading-276.jpg,84.5,Very High
5473,Old Oxford Rd at Dearborn Dr (WB),36.038273,-78.885425,B,Old Oxford Rd at Dearborn Dr (WB),70,High,5473,Old Oxford Rd at Dearborn Dr (WB),5473_Old_Oxford_Rd_at_Dearborn_Dr_WB_2025-04_nw_heading-252.jpg,36.038273,-78.885425,nw,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-04,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The north side of the road has a dirt and grass shoulder with parked cars in front of residential townhomes, and the south side is a fenced construction site. No sign, shelter, bench, or trash can is visible.",final_images/5473_Old_Oxford_Rd_at_Dearborn_Dr_WB_2025-04_nw_heading-252.jpg,84.5,Very High
5862,Cornwallis Rd at Bainbridge Dr (NB),35.93994,-78.896922,B,Cornwallis Rd at Bainbridge Dr (NB),70,High,5862,Cornwallis Rd at Bainbridge Dr (NB),5862_Cornwallis_Rd_at_Bainbridge_Dr_NB_2025-01_n_heading-59.jpg,35.93994,-78.896922,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. A bare metal post and a concrete block are visible on the grass shoulder in the north view, but there is no GoDurham bus stop sign, shelter, bench, or active trash can.",final_images/5862_Cornwallis_Rd_at_Bainbridge_Dr_NB_2025-01_n_heading-59.jpg,84.5,Very High
6061,Ross Rd at Fernando St,35.9924,-78.84257,B,Ross Rd at Fernando St,70,High,6061,Ross Rd at Fernando St,6061_Ross_Rd_at_Fernando_St_2025-09_ne_heading-6.jpg,35.9924,-78.84257,ne,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. There is no sign, shelter, bench, or trash can at this intersection. The area consists of grass shoulders and residential lawns with no sidewalks.",final_images/6061_Ross_Rd_at_Fernando_St_2025-09_ne_heading-6.jpg,84.5,Very High
6592,Martin Luther King Jr Pkwy at Cook Rd (EB),35.947241,-78.923393,B,Martin Luther King Jr Pkwy at Cook Rd (,70,High,6592,Martin Luther King Jr Pkwy at Cook Rd (EB),6592_Martin_Luther_King_Jr_Pkwy_at_Cook_Rd_EB_2025-01_e_heading-291.jpg,35.947241,-78.923393,e,No,0.25,0.25,0.0,0.25,0.0,0.25,0.0,Grass,Unpaved,No,,No,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all views; no sign, shelter, bench, or trash can found on the grassy eastbound shoulder.",final_images/6592_Martin_Luther_King_Jr_Pkwy_at_Cook_Rd_EB_2025-01_e_heading-291.jpg,84.5,Very High
6629,TW Alexander Dr at Page Rd (EB),35.9189767,-78.8134982,B,TW Alexander Dr at Page Rd (EB),70,High,6629,TW Alexander Dr at Page Rd (EB),6629_TW_Alexander_Dr_at_Page_Rd_EB_2026-03_n_heading-168.jpg,35.9189767,-78.8134982,west,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,Yes,Yes,2026-03,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. A blue 'BUS / CARPOOL 485-RIDE' sign is visible in the west and northwest views, but this is a carpool/rideshare sign rather than a GoDurham bus stop sign. No shelter, bench, trash can, or GoDurham bus stop sign is present.",final_images/6629_TW_Alexander_Dr_at_Page_Rd_EB_2026-03_n_heading-168.jpg,84.5,Very High
5112,Angier Ave at Commonwealth St,35.97067,-78.86345,C,Angier Ave at Commonwealth St,40,Medium,5112,Angier Ave at Commonwealth St,5112_Angier_Ave_at_Commonwealth_St_2025-05_n_heading-354.jpg,35.97067,-78.86345,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-05,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all directions around the intersection of Angier Ave and Commonwealth St. No sign, shelter, bench, or trash can is present.",final_images/5112_Angier_Ave_at_Commonwealth_St_2025-05_n_heading-354.jpg,82.0,Very High
5333,Angier Ave at Jones Cir (NB),35.95724,-78.85315,C,Angier Ave at Jones Cir (NB),40,Medium,5333,Angier Ave at Jones Cir (NB),5333_Angier_Ave_at_Jones_Cir_NB_2025-09_n_heading-162.jpg,35.95724,-78.85315,left,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked the entire intersection of Angier Ave and Jones Cir; there is no sign, shelter, bench, or trash can present.",final_images/5333_Angier_Ave_at_Jones_Cir_NB_2025-09_n_heading-162.jpg,82.0,Very High
5419,Holloway St at Chandler Rd,35.985884,-78.840216,C,Holloway St at Chandler Rd,40,Medium,5419,Holloway St at Chandler Rd,5419_Holloway_St_at_Chandler_Rd_2025-04_ne_heading-260.jpg,35.985884,-78.840216,ne,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-4,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all 360-degree views around Holloway St and Chandler Rd; there is no sign, shelter, bench, or trash can present. The area consists of grass shoulders, driveways, and commercial/residential properties with no sidewalks.",final_images/5419_Holloway_St_at_Chandler_Rd_2025-04_ne_heading-260.jpg,82.0,Very High
5489,Dearborn Dr at Wiley Ave,36.029217,-78.870369,C,Dearborn Dr at Wiley Ave,40,Medium,5489,Dearborn Dr at Wiley Ave,5489_Dearborn_Dr_at_Wiley_Ave_2025-04_n_heading-311.jpg,36.029217,-78.870369,n,No,0.3,0.3,0.0,0.3,0.0,0.3,0.0,Grass,Unpaved,No,,No,No,2025-04,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. No sign, shelter, bench, or trash can found on the grass shoulders.",final_images/5489_Dearborn_Dr_at_Wiley_Ave_2025-04_n_heading-311.jpg,82.0,Very High
5581,E Club Blvd at Lindbergh St,36.022849,-78.878892,C,E Club Blvd at Lindbergh St,40,Medium,5581,E Club Blvd at Lindbergh St,5581_E_Club_Blvd_at_Lindbergh_St_2025-03_w_heading-54.jpg,36.022849,-78.878892,w,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-03,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The intersection of E Club Blvd and Lindbergh St was fully scanned, and there are no signs, shelters, benches, or trash cans present. The area has grass shoulders with no sidewalks or pedestrian infrastructure.",final_images/5581_E_Club_Blvd_at_Lindbergh_St_2025-03_w_heading-54.jpg,82.0,Very High
5658,Durham Chapel Hill Blvd at James St,35.974825,-78.926443,C,Durham Chapel Hill Blvd at James St,40,Medium,5658,Durham Chapel Hill Blvd at James St,5658_Durham_Chapel_Hill_Blvd_at_James_St_2025-04_n_heading-14.jpg,35.974825,-78.926443,n,No,0.3,0.2,0.0,0.2,0.0,0.2,0.0,Grass,Unpaved,No,,No,No,2025-04,MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. A bare metal post is present in the north view but lacks signage. The area has a grassy shoulder and no sidewalk.,final_images/5658_Durham_Chapel_Hill_Blvd_at_James_St_2025-04_n_heading-14.jpg,82.0,Very High
5765,Hillsborough Rd at Rosehill Ave,36.010649,-78.927815,C,Hillsborough Rd at Rosehill Ave,40,Medium,5765,Hillsborough Rd at Rosehill Ave,5765_Hillsborough_Rd_at_Rosehill_Ave_2025-09_ne_heading-230.jpg,36.010649,-78.927815,ne,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-9,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all views including Hillsborough Rd in the north, northeast, and northwest directions. No sign, shelter, bench, or trash can is visible along the roadside. A GoDurham bus is visible in the distance in the northeast view, but no stop infrastructure can be identified.",final_images/5765_Hillsborough_Rd_at_Rosehill_Ave_2025-09_ne_heading-230.jpg,82.0,Very High
5832,Dearborn Dr at Apollo St (SB),36.036887,-78.869816,C,Dearborn Dr at Apollo St (SB),40,Medium,5832,Dearborn Dr at Apollo St (SB),5832_Dearborn_Dr_at_Apollo_St_SB_2025-04_n_heading-219.jpg,36.036887,-78.869816,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-4,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The intersection of Dearborn Dr and Apollo St shows only grass shoulders, residential properties, utility poles, and mailboxes, with no GoDurham bus stop sign, shelter, bench, or trash can present.",final_images/5832_Dearborn_Dr_at_Apollo_St_SB_2025-04_n_heading-219.jpg,82.0,Very High
5987,Otis St at Cecil St,35.97208,-78.90627,C,Otis St at Cecil St,40,Medium,5987,Otis St at Cecil St,5987_Otis_St_at_Cecil_St_2022-09_s_heading-100.jpg,35.97208,-78.90627,s,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2022-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The intersection of Otis St and Cecil St was fully scanned across all 360-degree views, and no GoDurham bus stop sign, shelter, bench, or public trash can was found.",final_images/5987_Otis_St_at_Cecil_St_2022-09_s_heading-100.jpg,82.0,Very High
6351,Ross Rd at Idlewood Rd,35.992538,-78.848785,C,Ross Rd at Idlewood Rd,40,Medium,6351,Ross Rd at Idlewood Rd,6351_Ross_Rd_at_Idlewood_Rd_2025-09_w_heading-263.jpg,35.992538,-78.848785,w,No,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all directions around the intersection of Ross Rd and Idlewood Rd; no GoDurham sign, shelter, bench, or trash can is present.",final_images/6351_Ross_Rd_at_Idlewood_Rd_2025-09_w_heading-263.jpg,82.0,Very High
6530,Junction Rd at Ross Rd,35.992522,-78.856781,C,Junction Rd at Ross Rd,40,Medium,6530,Junction Rd at Ross Rd,6530_Junction_Rd_at_Ross_Rd_2025-09_e_heading-27.jpg,35.992522,-78.856781,e,No,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,No,2025-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The surrounding area is a rural/suburban road with railroad tracks on one side and residential properties behind a wooden fence on the other. No GoDurham sign, shelter, bench, or public trash can is present.",final_images/6530_Junction_Rd_at_Ross_Rd_2025-09_e_heading-27.jpg,82.0,Very High
5407,Tom Wilkinson Rd at Roxboro Rd,36.0950678,-78.9116757,A,Tom Wilkinson Rd at Northern High School,100,Very High,5407,Tom Wilkinson Rd at Roxboro Rd,5407_Tom_Wilkinson_Rd_at_Roxboro_Rd_2025-09_center_heading-323.jpg,36.0950678,-78.9116757,center,Yes,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Grass,Unpaved,No,,No,No,2025-09,"The bus stop is marked by a sign on a metal post next to a utility pole. A public trash can and a single plastic chair are present on the grass. There is no sidewalk, paved landing pad, or crosswalk.",final_images/5407_Tom_Wilkinson_Rd_at_Roxboro_Rd_2025-09_center_heading-323.jpg,78.0,High
5433,Main St at Morgan St (WB),36.0016282,-78.9116598,B,Main St at Morgan St (WB),70,High,5433,Main St at Morgan St (WB),5433_Main_St_at_Morgan_St_WB_2016-09_n_heading-77.jpg,36.0016282,-78.9116598,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Concrete,Paved,No,,No,No,2016-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The provided images depict an indoor swimming pool facility rather than an outdoor street view, meaning no transit infrastructure is present.",final_images/5433_Main_St_at_Morgan_St_WB_2016-09_n_heading-77.jpg,77.5,High
5005,Cornwallis Rd at Industry Ln,35.94235,-78.8996,C,Cornwallis Rd at Industry Ln,40,Medium,5005,Cornwallis Rd at Industry Ln,5005_Cornwallis_Rd_at_Industry_Ln_2025-01_nw_heading-195.jpg,35.94235,-78.8996,nw,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The surrounding area consists of grass, trees, a brick business park sign, a fire hydrant, and a street light pole, but no bus stop sign, shelter, bench, or trash can is present.",final_images/5005_Cornwallis_Rd_at_Industry_Ln_2025-01_nw_heading-195.jpg,74.0,High
5035,Angier Ave at Pleasant Dr,35.96362,-78.85662,C,Angier Ave at Pleasant Dr,40,Medium,5035,Angier Ave at Pleasant Dr,5035_Angier_Ave_at_Pleasant_Dr_2025-09_e_heading-120.jpg,35.96362,-78.85662,e,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all views around the intersection of Angier Ave and Pleasant Dr. There is a small white sign on a post in the east view, but it does not resemble a GoDurham bus stop sign. No shelter, bench, or trash can is present. The area has grass shoulders, no sidewalks, and railroad tracks on the south side.",final_images/5035_Angier_Ave_at_Pleasant_Dr_2025-09_e_heading-120.jpg,74.0,High
5054,University Dr at Larchmont Dr,35.960943,-78.962345,C,University Dr at Larchmont Dr,40,Medium,5054,University Dr at Larchmont Dr,5054_University_Dr_at_Larchmont_Dr_2025-01_n_heading-21.jpg,35.960943,-78.962345,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The intersection of University Dr and Larchmont Dr was fully scanned, and no GoDurham bus stop sign, shelter, bench, or trash can was found.",final_images/5054_University_Dr_at_Larchmont_Dr_2025-01_n_heading-21.jpg,74.0,High
5306,Morehead Ave at Arnette Ave (WB),35.991739,-78.91422,C,Morehead Ave at Arnette Ave (WB),40,Medium,5306,Morehead Ave at Arnette Ave (WB),5306_Morehead_Ave_at_Arnette_Ave_WB_2016-02_n_heading-1.jpg,35.991739,-78.91422,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,Yes,Yes,2016-02,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all poles and corners; no GoDurham bus stop sign, shelter, bench, or trash can is visible. A GoDurham bus is seen driving westbound in the W view, but the actual stop pole/sign is not identified.",final_images/5306_Morehead_Ave_at_Arnette_Ave_WB_2016-02_n_heading-1.jpg,74.0,High
5355,NC 55 at Riddle Rd (SB),35.9566119,-78.892071,C,NC 55 at Riddle Rd (SB),40,Medium,5355,NC 55 at Riddle Rd (SB),5355_NC_55_at_Riddle_Rd_SB_2025-01_nw_heading-223.jpg,35.9566119,-78.892071,nw,No,0.3,0.3,0.0,0.3,0.0,0.3,0.0,Grass,Unpaved,No,,No,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. No sign, shelter, bench, or trash can found on the grass shoulder.",final_images/5355_NC_55_at_Riddle_Rd_SB_2025-01_nw_heading-223.jpg,74.0,High
5456,Shannon Rd at Martin Luther King Jr Pkwy (South Square Townhomes),35.962639,-78.956324,C,Shannon Rd at Martin Luther King Jr Pkw,40,Medium,5456,Shannon Rd at Martin Luther King Jr Pkwy (South Square Townhomes),5456_Shannon_Rd_at_Martin_Luther_King_Jr_Pkwy_South_Square_Townhomes_2025-01_n_heading-135.jpg,35.962639,-78.956324,n,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-01,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all 360-degree views around the entrance of South Square Townhomes on Shannon Rd. There is no GoDurham bus stop sign, shelter, bench, or trash can present.",final_images/5456_Shannon_Rd_at_Martin_Luther_King_Jr_Pkwy_South_Square_Townhomes_2025-01_n_heading-135.jpg,74.0,High
5492,Dearborn Dr at Cannada Ave (NB),36.038636,-78.882398,C,Dearborn Dr at Cannada Ave (NB),40,Medium,5492,Dearborn Dr at Cannada Ave (NB),5492_Dearborn_Dr_at_Cannada_Ave_NB_2025-09_n_heading-357.jpg,36.038636,-78.882398,n,No,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-09,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. A bare metal post is visible in the foreground of the north view, but it has no sign attached to it. There are no shelters, benches, or trash cans at this location. The roadside is unpaved grass and dirt with dense bamboo and trees.",final_images/5492_Dearborn_Dr_at_Cannada_Ave_NB_2025-09_n_heading-357.jpg,74.0,High
5574,Durham-Chapel Hill Blvd at Hope Valley Rd (EB),35.97392,-78.93305,C,Durham-Chapel Hill Blvd at Hope Valley,40,Medium,5574,Durham-Chapel Hill Blvd at Hope Valley Rd (EB),5574_Durham-Chapel_Hill_Blvd_at_Hope_Valley_Rd_EB_2025-09_se_heading-337.jpg,35.97392,-78.93305,se,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-9,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. The location has a grass shoulder with no sign, shelter, bench, or trash can.",final_images/5574_Durham-Chapel_Hill_Blvd_at_Hope_Valley_Rd_EB_2025-09_se_heading-337.jpg,74.0,High
5596,Foushee St at Avondale Dr (EB),36.016151,-78.887701,C,Foushee St at Avondale Dr (EB),40,Medium,5596,Foushee St at Avondale Dr (EB),5596_Foushee_St_at_Avondale_Dr_EB_2025-04_se_heading-278.jpg,36.016151,-78.887701,se,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grass,Unpaved,No,,No,Yes,2025-4,"MANUAL REVIEW REQUIRED: Definitively no bus stop infrastructure visible in any image. Checked all utility poles and grassy areas on both sides of Foushee St; no GoDurham sign, shelter, bench, or public trash can is present.",final_images/5596_Foushee_St_at_Avondale_Dr_EB_2025-04_se_heading-278.jpg,74.0,High
